"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"111",77.35,0.851648351648352,0.9,"he4",0.909090909090909,1,0.85,"Stage III"
"112",0.119693767772097,0.802197802197802,1,"Screening DELFI+CA125+HE4",0.909090909090909,0.909090909090909,0.8,"Stage III"
"113",18.035,0.802197802197802,1,"ca125",0.818181818181818,0.954545454545455,0.8,"Stage III"
"114",71.025,0.802197802197802,1,"he4",0.909090909090909,0.909090909090909,0.8,"Stage III"
"115",0.105953537839969,0.752747252747253,1,"Screening DELFI+CA125+HE4",0.909090909090909,0.818181818181818,0.75,"Stage III"
"116",16.885,0.752747252747253,1,"ca125",0.909090909090909,0.909090909090909,0.75,"Stage III"
"117",64.985,0.752747252747253,1,"he4",0.909090909090909,0.909090909090909,0.75,"Stage III"
"118",0.0914161768107754,0.703296703296703,1,"Screening DELFI+CA125+HE4",0.909090909090909,0.681818181818182,0.7,"Stage III"
"119",16.05,0.703296703296703,1,"ca125",0.909090909090909,0.909090909090909,0.7,"Stage III"
"120",60.42,0.703296703296703,1,"he4",0.909090909090909,0.863636363636364,0.7,"Stage III"
"121",0.655097700609212,1,1,"Screening DELFI+CA125+HE4",0.833333333333333,1,1,"Stage IV"
"122",128.5,1,1,"ca125",0.666666666666667,1,1,"Stage IV"
"123",212.8,1,1,"he4",0.666666666666667,1,1,"Stage IV"
"124",0.516246620912448,0.994505494505495,1,"Screening DELFI+CA125+HE4",0.833333333333333,1,0.99,"Stage IV"
"125",49.925,0.994505494505495,1,"ca125",0.833333333333333,1,0.99,"Stage IV"
"126",199,0.994505494505495,1,"he4",0.666666666666667,1,0.99,"Stage IV"
"127",0.269727834895655,0.950549450549451,1,"Screening DELFI+CA125+HE4",0.833333333333333,1,0.95,"Stage IV"
"128",26.005,0.950549450549451,1,"ca125",0.833333333333333,0.954545454545455,0.95,"Stage IV"
"129",110.9,0.950549450549451,1,"he4",0.833333333333333,1,0.95,"Stage IV"
"130",0.18589117226155,0.901098901098901,1,"Screening DELFI+CA125+HE4",0.833333333333333,1,0.9,"Stage IV"
"131",23.375,0.906593406593407,1,"ca125",0.833333333333333,0.954545454545455,0.9,"Stage IV"
"132",85.27,0.901098901098901,1,"he4",0.833333333333333,1,0.9,"Stage IV"
"133",0.152066501312613,0.851648351648352,1,"Screening DELFI+CA125+HE4",0.833333333333333,1,0.85,"Stage IV"
"134",19.89,0.851648351648352,1,"ca125",0.833333333333333,0.954545454545455,0.85,"Stage IV"
"135",77.35,0.851648351648352,1,"he4",0.833333333333333,1,0.85,"Stage IV"
"136",0.119693767772097,0.802197802197802,1,"Screening DELFI+CA125+HE4",0.833333333333333,0.909090909090909,0.8,"Stage IV"
"137",18.035,0.802197802197802,1,"ca125",0.833333333333333,0.954545454545455,0.8,"Stage IV"
"138",71.025,0.802197802197802,1,"he4",0.833333333333333,0.909090909090909,0.8,"Stage IV"
"139",0.105953537839969,0.752747252747253,1,"Screening DELFI+CA125+HE4",0.833333333333333,0.818181818181818,0.75,"Stage IV"
"140",16.885,0.752747252747253,1,"ca125",0.833333333333333,0.909090909090909,0.75,"Stage IV"
"141",64.985,0.752747252747253,1,"he4",0.833333333333333,0.909090909090909,0.75,"Stage IV"
"142",0.0914161768107754,0.703296703296703,1,"Screening DELFI+CA125+HE4",0.833333333333333,0.681818181818182,0.7,"Stage IV"
"143",16.05,0.703296703296703,1,"ca125",0.833333333333333,0.909090909090909,0.7,"Stage IV"
"144",60.42,0.703296703296703,1,"he4",0.833333333333333,0.863636363636364,0.7,"Stage IV"
